,titles,year,runtime,imbd,meta,vote,gross_amt
318,The Lives of Others,2006,137,8.4,89        ,351888,11.29
319,Misery,1990,107,7.8,75        ,180459,61.28
320,Vertigo,1958,128,8.3,100        ,356022,3.2
321,The Bourne Supremacy,2004,108,7.7,73        ,428827,176.24
322,Blue Velvet,1986,120,7.7,76        ,177649,8.55
323,Walk the Line,2005,136,7.8,72        ,230572,119.52
324,Argo,2012,120,7.7,86        ,565187,136.03
325,Crash,2004,112,7.7,66        ,416163,54.58
326,Serenity,2005,119,7.8,74        ,280626,25.51
327,Dances with Wolves,1990,181,8.0,72        ,236201,184.21
328,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,8.4,97        ,443460,0.28
329,The Butterfly Effect,2004,113,7.6,30        ,445934,57.94
330,Magnolia,1999,188,8.0,77        ,285811,22.46
331,Finding Nemo,2003,100,8.1,90        ,932813,380.84
332,The Warriors,1979,92,7.6,65        ,92305,22.49
333,Moonrise Kingdom,2012,94,7.8,84        ,313214,45.51
334,500 Days of Summer,2009,95,7.7,76        ,466294,32.39
335,First Blood,1982,93,7.7,61        ,222633,47.21
336,Midnight in Paris,2011,94,7.7,81        ,382114,56.82
337,Chinatown,1974,130,8.1,92        ,288813,29.2
338,The Hunt for Red October,1990,135,7.6,58        ,175916,122.01
339,Rush,2013,123,8.1,74        ,425288,26.95
340,Minority Report,2002,145,7.6,80        ,500996,132.07
341,Cast Away,2000,143,7.8,73        ,513568,233.63
342,Donnie Brasco,1997,127,7.7,76        ,273873,41.91
343,The Count of Monte Cristo,2002,131,7.8,61        ,127432,54.23
344,Million Dollar Baby,2004,132,8.1,86        ,626421,100.49
345,Before Sunrise,1995,101,8.1,77        ,265149,5.54
346,WALL·E,2008,98,8.4,95        ,980261,223.81
347,The Blues Brothers,1980,133,7.9,60        ,179888,57.23
348,Moon,2009,97,7.9,67        ,331081,5.01
349,Groundhog Day,1993,101,8.0,72        ,571261,70.91
350,Indiana Jones and the Last Crusade,1989,127,8.2,65        ,680397,197.17
351,Fried Green Tomatoes,1991,130,7.7,64        ,65834,82.42
352,Key Largo,1948,100,7.8,-,36482,
353,Midnight Cowboy,1969,113,7.8,79        ,99263,44.79
354,Do the Right Thing,1989,120,8.0,93        ,87071,27.55
355,American Gangster,2007,157,7.8,76        ,384917,130.16
356,Princess Mononoke,1997,134,8.4,76        ,334096,2.38
357,Adaptation.,2002,115,7.7,83        ,175514,22.25
358,District 9,2009,112,7.9,81        ,632201,115.65
359,The Girl with the Dragon Tattoo,2009,152,7.8,76        ,206732,10.1
360,The Untouchables,1987,119,7.9,79        ,274423,76.27
361,The Last of the Mohicans,1992,112,7.7,76        ,146464,75.51
362,Aladdin,1992,90,8.0,86        ,366887,217.35
363,Hell or High Water,2016,102,7.6,88        ,199728,26.86
364,True Grit,2010,110,7.6,80        ,306665,171.24
365,The Bourne Ultimatum,2007,115,8.0,85        ,599074,227.47
366,3 Idiots,2009,170,8.4,67        ,335028,6.53
367,Seven Samurai,1954,207,8.6,98        ,310090,0.27
368,The Elephant Man,1980,124,8.1,78        ,215992,
369,The Machinist,2004,101,7.7,61        ,352838,1.08
370,Incredibles 2,2018,118,7.6,80        ,241815,608.58
371,Dallas Buyers Club,2013,117,8.0,80        ,432510,27.3
372,Miller's Crossing,1990,115,7.7,66        ,124256,5.08
373,What's Eating Gilbert Grape,1993,118,7.8,73        ,211300,9.17
374,Big Hero 6,2014,102,7.8,74        ,403184,222.53
375,Captain Phillips,2013,134,7.8,82        ,414327,107.1
376,My Cousin Vinny,1992,120,7.6,68        ,104802,52.93
377,Fear and Loathing in Las Vegas,1998,118,7.6,41        ,256252,10.68
378,High Noon,1952,85,7.9,89        ,95909,9.45
379,Changeling,2008,141,7.7,63        ,235352,35.74
380,How to Train Your Dragon,2010,98,8.1,75        ,654993,217.58
381,The Boy in the Striped Pajamas,2008,94,7.8,55        ,186998,9.03
382,Road to Perdition,2002,117,7.7,72        ,243260,104.45
383,The Fighter,2010,116,7.8,79        ,335548,93.62
384,Fantastic Mr. Fox,2009,87,7.9,83        ,194361,21.0
385,The Pursuit of Happyness,2006,117,8.0,64        ,439811,163.57
386,Stalker,1979,162,8.2,-,113294,0.23
387,Lion,2016,118,8.0,69        ,208438,51.74
388,Gravity,2013,91,7.7,96        ,758743,274.09
389,Inside Man,2006,129,7.6,76        ,333044,88.51
390,It's a Wonderful Life,1946,130,8.6,89        ,390490,
391,Little Miss Sunshine,2006,101,7.8,80        ,433739,59.89
392,Spartacus,1960,197,7.9,87        ,122572,30.0
393,The Holy Mountain,1973,114,7.9,76        ,35828,0.06
394,Out of the Past,1947,97,8.0,-,32085,
395,Monty Python and the Holy Grail,1975,91,8.2,91        ,494019,1.23
396,Y Tu Mamá También,2001,106,7.6,88        ,114189,13.62
397,Raging Bull,1980,129,8.2,89        ,315859,23.38
398,Let the Right One In,2008,114,7.9,82        ,203340,2.12
399,Togo,2019,113,8.0,69        ,32368,
400,The Naked Gun: From the Files of Police Squad!,1988,85,7.6,76        ,149670,78.76
401,The King's Speech,2010,118,8.0,88        ,630669,138.8
402,Bridge of Spies,2015,142,7.6,81        ,282635,72.31
403,The Skin I Live In,2011,120,7.6,70        ,135959,3.19
404,Rebecca,1940,130,8.1,86        ,120272,4.36
405,Blazing Saddles,1974,93,7.7,73        ,124130,119.5
406,Slumdog Millionaire,2008,120,8.0,84        ,788914,141.32
407,Mad Max 2: The Road Warrior,1981,96,7.6,77        ,164270,12.47
408,I Saw the Devil,2010,144,7.8,67        ,107339,0.13
409,The Little Mermaid,1989,83,7.6,88        ,233214,111.54
410,Gattaca,1997,106,7.8,64        ,276925,12.34
411,Blow,2001,124,7.6,52        ,237574,52.99
412,The Magnificent Seven,1960,128,7.7,74        ,86406,4.91
413,The Fugitive,1993,130,7.8,87        ,263326,183.88
414,Dog Day Afternoon,1975,125,8.0,86        ,231975,50.0
415,When Harry Met Sally...,1989,95,7.6,76        ,191793,92.82
416,Sense and Sensibility,1995,136,7.6,84        ,100250,43.18
417,Star Trek Into Darkness,2013,132,7.7,72        ,459543,228.78
418,Goldfinger,1964,110,7.7,87        ,169540,51.08
419,The Graduate,1967,106,8.0,83        ,250788,104.95
420,Apollo 13,1995,140,7.6,77        ,263354,173.84
421,The Sandlot,1993,101,7.8,55        ,77713,32.42
422,Grave of the Fireflies,1988,89,8.5,94        ,227990,
423,Beauty and the Beast,1991,84,8.0,95        ,412184,218.97
424,The Legend of 1900,1998,169,8.1,58        ,57817,0.26
425,The Thin Red Line,1998,170,7.6,78        ,170062,36.4
426,Carlito's Way,1993,144,7.9,65        ,197732,36.95
427,Toy Story 3,2010,103,8.3,92        ,743738,415.0
428,Brazil,1985,132,7.9,84        ,185213,9.93
429,Creed,2015,133,7.6,82        ,243002,109.77
430,Wreck-It Ralph,2012,101,7.7,72        ,373486,189.42
431,Gifted,2017,101,7.6,60        ,96720,24.8
432,Indiana Jones and the Temple of Doom,1984,118,7.6,57        ,440622,179.87
433,Isle of Dogs,2018,101,7.9,82        ,134270,32.02
434,3:10 to Yuma,2007,122,7.7,76        ,285275,53.61
435,Gone Baby Gone,2007,114,7.6,72        ,246715,20.3
436,The Florida Project,2017,111,7.6,92        ,91290,5.9
437,Mr. Nobody,2009,141,7.8,63        ,212916,0.0
438,Blood Diamond,2006,143,8.0,64        ,491789,57.37
439,Barry Lyndon,1975,185,8.1,89        ,146428,
440,Boyz n the Hood,1991,112,7.8,76        ,122828,57.5
441,Searching,2018,102,7.6,71        ,135135,26.02
442,The Secret in Their Eyes,2009,129,8.2,80        ,189237,6.39
